circuit_id,classification,fidelity,param_mean,param_std,param_range,param_skewness,param_entropy,small_param_ratio,extreme_param_ratio,param_diversity,critical_param_mean,critical_param_std
circuit_000_robust,robust,0.9771566380391976,0.8545780952300159,0.4928312316741678,1.5651603691947402,-0.5111184755014064,4.93100178092368,0.19661016949152543,0.04915254237288136,1.0,0.07902161094608705,0.267240407567074
circuit_001_fragile,fragile,0.8000549719372818,0.8589014851905149,0.49558458866627386,1.5683512951905816,-0.5130804612158164,4.932569321360737,0.19661016949152543,0.04915254237288136,1.0,0.10758094591078458,0.3302565991129796
circuit_002_robust,robust,0.9797362858375406,0.831058301948327,0.4948125683498549,1.5639555673825867,-0.4388276903240106,4.938731395760548,0.20847457627118643,0.03559322033898305,1.0,0.042104430105481885,0.20342840315579477
circuit_003_robust,robust,0.9762078504080157,0.8537383385458801,0.49367797016476495,1.5685234148929128,-0.5404533661755778,4.941561440885551,0.2016949152542373,0.02711864406779661,0.9983050847457627,0.03278268404764171,0.13648140208260823
circuit_004_fragile,fragile,0.8292660656255434,0.8653194682434664,0.4786771533155197,1.561896064187043,-0.5584300716834265,4.972747353750149,0.17966101694915254,0.025423728813559324,1.0,0.10928204320601594,0.3366746396589844
circuit_005_fragile,fragile,0.35086525862325046,0.8792486301073187,0.4648333519461284,1.568657813836706,-0.58495042456256,4.995742201719549,0.16271186440677965,0.03559322033898305,0.9983050847457627,0.12206715808115623,0.3280345716614606
circuit_006_fragile,fragile,0.48884004996440217,0.8352974564964254,0.4702821083634858,1.569325359341846,-0.4695180442265676,4.963140288061778,0.18305084745762712,0.04067796610169491,1.0,0.009858925904505614,0.00511220759623665
circuit_007_fragile,fragile,0.8766084489321291,0.8260897944076131,0.4879232640298313,1.5680345323346345,-0.4631626510443994,4.910735945327614,0.20677966101694914,0.03728813559322034,1.0,0.09959924826193015,0.3101726864632606
circuit_008_fragile,fragile,0.44203673941118976,0.8627262724434913,0.4893644813440159,1.565203418685902,-0.49548718703213657,4.91800471875294,0.1847457627118644,0.03559322033898305,1.0,0.10021365039243839,0.3279695283152864
circuit_009_robust,robust,0.9788802490076821,0.8195684077616031,0.49309360921420037,1.5675834164688864,-0.4182356965281703,4.922122620018544,0.211864406779661,0.03389830508474576,1.0,0.1031216819485302,0.23874275683721902
circuit_010_robust,robust,0.9116429539503166,0.8669197953606009,0.475326395720005,1.5655114256767104,-0.547225907215962,4.9624530089641015,0.17627118644067796,0.0288135593220339,0.9983050847457627,0.1421561538224256,0.4065972610243708
circuit_011_robust,robust,0.9803617380800228,0.8294119204764088,0.48984646112962965,1.5683201603342674,-0.46825475723868987,4.92949939120932,0.20677966101694914,0.03389830508474576,1.0,0.07977460247126228,0.2695915052808108
circuit_012_robust,robust,0.9762831481128846,0.8214078108694925,0.49784493075696773,1.5668457813254966,-0.4154064962876046,4.878591357994402,0.21694915254237288,0.0423728813559322,0.9983050847457627,0.11968382938800666,0.302764075371382
circuit_013_robust,robust,0.9787523313669386,0.7985006893352516,0.5107807570132677,1.5696050278079394,-0.3424220046072163,4.832640822852892,0.23898305084745763,0.04576271186440678,1.0,0.08627137968029878,0.2743485344638257
circuit_014_fragile,fragile,0.8795669344688429,0.8573942413536296,0.47402873847579324,1.5599931699368847,-0.4881294456658902,4.989264464124793,0.17457627118644067,0.03559322033898305,1.0,0.2160686395705897,0.4392301143194408
circuit_015_robust,robust,0.9354353659073864,0.8599255383883649,0.487764092107352,1.5670856566545162,-0.5508860070738529,4.949938050417857,0.19152542372881357,0.0423728813559322,1.0,0.13904527097648425,0.37624108654297944
circuit_016_robust,robust,0.978659866417224,0.8671666107057856,0.4945491988920327,1.5664733659925414,-0.5786447748990605,4.933021342454992,0.19830508474576272,0.03559322033898305,0.9983050847457627,0.16662747970967365,0.40429173984272787
circuit_017_fragile,fragile,0.8119294213860083,0.8524864648123215,0.48422771335242343,1.568156813291083,-0.519548954358082,4.9670372207811475,0.18983050847457628,0.03389830508474576,1.0,0.20578762327765787,0.4582173051700778
circuit_018_fragile,fragile,0.4441064753575175,0.8866037238168867,0.4956301619824249,1.567978534033805,-0.5808422799258671,4.941995187413293,0.1847457627118644,0.04067796610169491,1.0,0.010408417845589183,0.005777941688207631
circuit_019_fragile,fragile,0.4673886032409017,0.8463004898335691,0.47756238635057946,1.5631548528949109,-0.5082430191825538,4.92565937329783,0.1864406779661017,0.0423728813559322,1.0,0.11042783176249434,0.33725529033104423
circuit_020_robust,robust,0.9782642956223935,0.8298734528646634,0.500994188109921,1.567271092977066,-0.46580620847518406,4.883925482393603,0.21864406779661016,0.05084745762711865,0.9983050847457627,0.07732918201448205,0.2635992876415636
circuit_021_robust,robust,0.9778812466506386,0.8497931761753413,0.4933167231941009,1.5656978096200962,-0.5265556667719836,4.920353207690244,0.2016949152542373,0.03559322033898305,0.9983050847457627,0.07026821230810797,0.28150342457231875
circuit_022_robust,robust,0.9825521146370242,0.8201194514758502,0.4873110749669608,1.5690788843483916,-0.414117571042534,4.92316665171678,0.20508474576271185,0.03898305084745763,1.0,0.11441015340001989,0.3096907683988526
circuit_023_robust,robust,0.9841611582797894,0.8167130111762739,0.503706074288394,1.5683124377021573,-0.40926140596563715,4.860850074996922,0.22542372881355932,0.04576271186440678,1.0,0.03583598135662988,0.12946908759710776
circuit_024_fragile,fragile,0.5185957349508277,0.8726586653740446,0.4821123630905374,1.5632938057857566,-0.5648215030794334,4.984090409112368,0.17796610169491525,0.04406779661016949,1.0,0.040756083086212126,0.21558963546234897
circuit_025_robust,robust,0.9769864056430825,0.8393560678162282,0.4869267495038072,1.5663254204587633,-0.5437580535163813,4.921804248089816,0.20508474576271185,0.04406779661016949,1.0,0.09624637065850743,0.2862608097133876
circuit_026_robust,robust,0.9579513539903509,0.8237956774116076,0.4940943926745483,1.5693108326736012,-0.4492337679044723,4.897283323446116,0.211864406779661,0.059322033898305086,1.0,0.12395600418469852,0.34032276986060594
circuit_027_fragile,fragile,0.8693369744936988,0.8282573487804908,0.502794667786781,1.5690041251902513,-0.44361202095490115,4.900612675556386,0.21694915254237288,0.059322033898305086,1.0,0.07225837294350912,0.2518039507030104
circuit_028_robust,robust,0.9764408021235558,0.8347490660741771,0.5030398974911957,1.5669767176140155,-0.41477656910768146,4.902237830131985,0.21016949152542372,0.05254237288135593,1.0,0.04037746015384576,0.16834059045030272
circuit_029_robust,robust,0.9719624522057494,0.8420784273873246,0.4750229336792038,1.561208010469734,-0.5163966329542912,4.9597267650368595,0.188135593220339,0.03389830508474576,0.9983050847457627,0.0633006998241211,0.24269837586024828
circuit_030_fragile,fragile,0.8266801964952138,0.8471200226074167,0.48560518481594656,1.5666332864250831,-0.5387388146275855,4.931990870094961,0.19830508474576272,0.0423728813559322,1.0,0.07488543226473703,0.2673017007521763
circuit_031_robust,robust,0.976191617118401,0.8129929099118093,0.4997783307369947,1.5645801747431025,-0.43488649946987396,4.862102342284579,0.22542372881355932,0.04576271186440678,1.0,0.07494908540613453,0.2368903647825958
circuit_032_robust,robust,0.9782832183184037,0.8421383913184458,0.4848448757834642,1.5663391211711049,-0.48101712710649724,4.961179998801998,0.19322033898305085,0.030508474576271188,1.0,0.10468238027000604,0.32425430840003616
circuit_033_robust,robust,0.9792847096213677,0.8382087203484875,0.4877280656504485,1.5679991613903337,-0.44122637884977073,4.959995011462846,0.19491525423728814,0.0423728813559322,1.0,0.1524938446663788,0.3854553512593197
circuit_034_fragile,fragile,0.5926769298842578,0.8465138966026027,0.49552651019382266,1.5684415436122219,-0.5305883756462552,4.889708684192303,0.20508474576271185,0.05084745762711865,1.0,0.04984991194402824,0.17746876971412665
circuit_035_fragile,fragile,0.7102496473885686,0.8429538709867406,0.4891217469522463,1.5687926002588126,-0.475510006924549,4.946221365455042,0.19661016949152543,0.05254237288135593,1.0,0.08693049376772374,0.2652322689643948
circuit_036_robust,robust,0.9179052216627405,0.8429451635398325,0.4771653395170392,1.5678215964028317,-0.49669773395467914,4.926531997076831,0.188135593220339,0.03559322033898305,1.0,0.08930623153556054,0.27362615592838163
circuit_037_robust,robust,0.9784360969262852,0.8394236070039324,0.497613602914066,1.565183522305069,-0.4629751701403247,4.907271657284996,0.20677966101694914,0.04067796610169491,0.9983050847457627,0.11497573731933061,0.3318664702198946
circuit_038_robust,robust,0.9151785009870618,0.8597370260580562,0.49981139318233125,1.5667904669788038,-0.5219163458956689,4.938356474829607,0.2016949152542373,0.04067796610169491,0.9983050847457627,0.03455115337817347,0.16418572134578024
circuit_039_fragile,fragile,0.5286753334405621,0.8569472835468106,0.4828696744881654,1.567014010744942,-0.5248759681323136,4.968048712429799,0.1847457627118644,0.04915254237288136,0.9983050847457627,0.20743338559703,0.4262850237402639
circuit_040_robust,robust,0.923548951669256,0.8408577673947669,0.4969331326641245,1.569359186481689,-0.5156866756160905,4.89605017780908,0.211864406779661,0.03728813559322034,1.0,0.18837899463657762,0.4184787270037198
circuit_041_fragile,fragile,0.8367039589559263,0.8407569988031195,0.47755611366361206,1.5674231806787697,-0.514834115480932,4.926153000403923,0.19152542372881357,0.030508474576271188,1.0,0.09888907014846138,0.28875777168527783
