circuit_id,classification,fidelity,param_mean,param_std,param_range,param_skewness,param_entropy,small_param_ratio,extreme_param_ratio,param_diversity,critical_param_mean,critical_param_std
circuit_000_robust,robust,0.990199498002165,0.7200422271125112,0.5467148833724392,1.5651603691947402,-0.09661088354523059,4.463438720002179,0.3232758620689655,0.08620689655172414,1.0,0.0843861108001076,0.29026855097852805
circuit_001_robust,robust,0.9890366105466336,0.7576616342521012,0.5537513958187379,1.565928741360568,-0.21458816448960347,4.568409689350367,0.3103448275862069,0.07758620689655173,1.0,0.09430889662601215,0.2676712295753716
circuit_002_robust,robust,0.9887987696394405,0.7330211330898148,0.5352850631945831,1.5476620535332333,-0.17014605066810412,4.617679401707339,0.30603448275862066,0.06465517241379311,1.0,0.05610975670466747,0.2464461815856832
circuit_003_robust,robust,0.9902201578642686,0.7881015964700893,0.5342462240077612,1.5556799380720547,-0.3265730049964306,4.7154037139922975,0.27586206896551724,0.017241379310344827,1.0,0.012803253502559411,0.004954971645341069
circuit_004_robust,robust,0.9890528543760652,0.756612398722407,0.5153241349731088,1.562330601088973,-0.24813296647834027,4.7070448547134545,0.2672413793103448,0.04310344827586207,1.0,0.09645307937473523,0.31698497231742423
circuit_005_robust,robust,0.9882901825159027,0.8122887817917837,0.5028958342159003,1.5674051141924867,-0.38873715057010405,4.805084093875661,0.22844827586206898,0.05603448275862069,1.0,0.17602033221085847,0.35544819197373934
circuit_006_robust,robust,0.9700256262881384,0.7677060737363405,0.5087680985509733,1.5681222355709308,-0.2349762095570445,4.780146383522898,0.25,0.04741379310344827,1.0,0.010331492569150882,0.005445305275774312
circuit_007_robust,robust,0.9872499388015052,0.740624977335459,0.5364770804096693,1.5651085264455347,-0.17951779713557725,4.594679684929508,0.3017241379310345,0.06896551724137931,1.0,0.16063383847237456,0.41476828583330927
circuit_008_fragile,fragile,0.7927505326465242,0.7419368577255571,0.537290482803885,1.5599750986855023,-0.14373164384991394,4.639546170645071,0.29310344827586204,0.06465517241379311,1.0,0.033751656927993215,0.1271170078652453
circuit_009_robust,robust,0.9895513588819078,0.6904298398597991,0.5262266058431367,1.5648532194977818,-0.06355084684320252,4.5571794217339665,0.3232758620689655,0.0603448275862069,1.0,0.11480141730545015,0.24761854919577508
circuit_010_fragile,fragile,0.7822578913201571,0.8342612821037365,0.5007078874947779,1.5649376273236386,-0.473575095257757,4.810231985327369,0.21551724137931033,0.03017241379310345,1.0,0.2095680550445008,0.48745294287264934
circuit_011_robust,robust,0.9880285432794533,0.7650511754370064,0.5108918346982559,1.561037370478345,-0.3266206884597651,4.733574931948027,0.2672413793103448,0.03879310344827586,1.0,0.05458856492547702,0.21146393932110033
circuit_012_robust,robust,0.9908444342969752,0.6937069163300351,0.5481380842505513,1.5675447244297382,-0.05971346662553302,4.445103991746453,0.34913793103448276,0.07758620689655173,1.0,0.11255244828251801,0.28354463103199457
circuit_013_fragile,fragile,0.5439146196485537,0.7257861673793636,0.5374928499896211,1.5694929875879329,-0.168009985452798,4.554501283332978,0.3146551724137931,0.07758620689655173,1.0,0.06668329995565843,0.22155833841146072
circuit_014_robust,robust,0.988163902806059,0.7573048039478562,0.5297820819435394,1.5541523083920992,-0.1966368954459066,4.636616272736004,0.2801724137931034,0.06896551724137931,0.9956896551724138,0.13815312701926658,0.389378839729745
circuit_015_fragile,fragile,0.687584948111503,0.799793732721726,0.524752115961987,1.5651508033257828,-0.4200912986076603,4.661487758573141,0.2629310344827586,0.0603448275862069,1.0,0.1746024932582997,0.40274074560514544
circuit_016_robust,robust,0.9891103931284645,0.7891804192719813,0.5300577210056879,1.5573005685623498,-0.3011702902890995,4.698867566066354,0.2629310344827586,0.04310344827586207,0.9956896551724138,0.07937907127311511,0.317526339487125
circuit_017_robust,robust,0.988159645535216,0.7252910457905214,0.5357963896542235,1.5679671853997397,-0.14888549899545023,4.577327613396607,0.3103448275862069,0.06896551724137931,1.0,0.1391510901100458,0.36567445957819245
circuit_018_robust,robust,0.9232862248780078,0.7792837201284096,0.543740556308247,1.5674423221819604,-0.2706734839193145,4.607626017658919,0.28448275862068967,0.0603448275862069,1.0,0.010641335784296591,0.006161871129987141
