circuit_index,seed,compression_ratio,fidelity,robustness_class,total_gates,depth,entanglement_ratio,importance_entropy,importance_concentration
28,28042,0.08,0.9764408021235558,robust,877,84,0.3272519954389966,5.951456737776661,0.5153066552284558
29,29042,0.08,0.9719624522057494,robust,877,84,0.3272519954389966,5.956754565837338,0.4991376215291816
30,30042,0.08,0.8266801964952138,fragile,877,84,0.3272519954389966,5.773785870300946,0.5748344331468819
31,31042,0.08,0.976191617118401,robust,877,85,0.3272519954389966,5.798514339619244,0.5813271066777707
32,32042,0.08,0.9782832183184037,robust,877,84,0.3272519954389966,5.832288222855291,0.5314570148104125
33,33042,0.08,0.9792847096213677,robust,877,84,0.3272519954389966,5.819590013625296,0.5357480814348934
34,34042,0.08,0.5926769298842578,fragile,877,84,0.3272519954389966,5.988533670133595,0.5151017820859041
35,35042,0.08,0.7102496473885686,fragile,877,84,0.3272519954389966,5.795268795378035,0.5658066583316155
36,36042,0.08,0.9179052216627405,robust,877,84,0.3272519954389966,5.792401264506947,0.5434393169992867
37,37042,0.08,0.9784360969262852,robust,877,84,0.3272519954389966,5.837248090146595,0.5384341957644547
38,38042,0.08,0.9151785009870618,robust,877,84,0.3272519954389966,5.983330492416757,0.49515108958056736
39,39042,0.08,0.5286753334405621,fragile,877,84,0.3272519954389966,5.638173106723739,0.641466916403969
40,40042,0.08,0.923548951669256,robust,877,84,0.3272519954389966,5.6787463342180695,0.6313924260558235
41,41042,0.08,0.8367039589559263,fragile,877,85,0.3272519954389966,5.855407453632352,0.5429851884761059
42,42042,0.08,0.4775288991334435,fragile,877,84,0.3272519954389966,5.694832002422741,0.6092979340542741
43,43042,0.08,0.8746862514967184,fragile,877,84,0.3272519954389966,5.822661996139409,0.5621825253517193
44,44042,0.08,0.9802092700911157,robust,877,84,0.3272519954389966,5.885187542864866,0.5395661643308863
45,45042,0.08,0.9784799850929586,robust,877,85,0.3272519954389966,5.853865230181604,0.5236970869051218
46,46042,0.08,0.7053081008682186,fragile,877,84,0.3272519954389966,5.8113977338834255,0.5389317617671542
47,47042,0.08,0.9768557680321741,robust,877,84,0.3272519954389966,5.710083357025259,0.5908418450985706
48,48042,0.08,0.4275388622104006,fragile,877,84,0.3272519954389966,5.812097158731951,0.5273298188808243
49,49042,0.08,0.909536642568811,robust,877,84,0.3272519954389966,5.849391329836052,0.5625445246924027
50,50042,0.08,0.7160876519028997,fragile,877,84,0.3272519954389966,5.703621217028177,0.5939805834436672
51,51042,0.08,0.61985027342506,fragile,877,84,0.3272519954389966,5.632544278202067,0.6315279323295748
52,52042,0.08,0.9795308688752016,robust,877,84,0.3272519954389966,5.87427373180913,0.5139739566129662
53,53042,0.08,0.982049577087085,robust,877,84,0.3272519954389966,5.853303199841662,0.5179728723636121
54,54042,0.08,0.9775481201345336,robust,877,85,0.3272519954389966,5.912494075444899,0.5090806752342393
55,55042,0.08,0.8012839319854713,fragile,877,84,0.3272519954389966,5.840266858452599,0.5261556811393925
56,56042,0.08,0.979124667689588,robust,877,84,0.3272519954389966,5.747763524121131,0.587111160439458
57,57042,0.08,0.9777193969578634,robust,877,84,0.3272519954389966,5.7390845659889,0.6055462157071998
58,58042,0.08,0.9816978357958966,robust,877,84,0.3272519954389966,5.7755088092462294,0.5656939435219007
59,59042,0.08,0.6837698002213968,fragile,877,84,0.3272519954389966,5.931835604510438,0.519607537630556
60,60042,0.08,0.7872712060739053,fragile,877,84,0.3272519954389966,5.883319171800974,0.541958032992577
61,61042,0.08,0.5410505430630871,fragile,877,84,0.3272519954389966,5.843190717355519,0.5414315194857077
