circuit_index,seed,compression_ratio,fidelity,robustness_class,total_gates,depth,entanglement_ratio,importance_entropy,importance_concentration
0,42,0.11000000000000001,0.990199498002165,robust,342,46,0.3216374269005848,4.774386823800818,0.6390288577724437
1,1042,0.11000000000000001,0.9890366105466336,robust,342,46,0.3216374269005848,4.751636667957003,0.6246635435059426
2,2042,0.11000000000000001,0.9887987696394405,robust,342,46,0.3216374269005848,4.9234050279613,0.5792549045447236
3,3042,0.11000000000000001,0.9902201578642686,robust,342,46,0.3216374269005848,5.092475800761253,0.45942620677490914
4,4042,0.11000000000000001,0.9890528543760652,robust,342,46,0.3216374269005848,4.776699041772567,0.5958328972479847
5,5042,0.11000000000000001,0.9882901825159027,robust,342,46,0.3216374269005848,4.623532601961584,0.6546818765883587
6,6042,0.11000000000000001,0.9700256262881384,robust,342,46,0.3216374269005848,5.032954209019017,0.5192322847790714
7,7042,0.11000000000000001,0.9872499388015052,robust,342,46,0.3216374269005848,4.704254736717648,0.6436074319715347
8,8042,0.11000000000000001,0.7927505326465242,fragile,342,46,0.3216374269005848,4.838307564273206,0.6104552662070424
9,9042,0.11000000000000001,0.9895513588819078,robust,342,46,0.3216374269005848,4.678322286816398,0.6492171864367134
10,10042,0.11000000000000001,0.7822578913201571,fragile,342,46,0.3216374269005848,4.861483541167754,0.5633761047146905
11,11042,0.11000000000000001,0.9880285432794533,robust,342,46,0.3216374269005848,4.74145901032075,0.6234676124224859
12,12042,0.11000000000000001,0.9908444342969752,robust,342,46,0.3216374269005848,4.7180652894765345,0.6229150154949217
13,13042,0.11000000000000001,0.5439146196485537,fragile,342,46,0.3216374269005848,4.855518234554275,0.5512610213308322
14,14042,0.11000000000000001,0.988163902806059,robust,342,46,0.3216374269005848,4.658015287772191,0.673737058533826
15,15042,0.11000000000000001,0.687584948111503,fragile,342,46,0.3216374269005848,4.759239420491817,0.6143642459926509
16,16042,0.11000000000000001,0.9891103931284645,robust,342,46,0.3216374269005848,4.980063602801668,0.5228720198408167
